Warehouse Name;Reference;Denomination;Equipe Guillaume et Alexis;Equipe Thibaut et Marc;Equipe Aurelien;Equipe Maxime;Equipe Dimitri et Camille;Equipe Coline et Pierre;Admin
CHAMBRE FROIDE;B57VS22N0;Four vapeur multifonction 71L encastrable NEFF B57VS22N0;0;0;0;0;0;0;0
CHAMBRE FROIDE;B5RCNE405HXB;Réfrigérateur combiné inox 355L BEKO B5RCNE405HXB;0;0;0;0;0;0;0
CHAMBRE FROIDE;B6AVH7AN1;Four encastrable fonction vapeur NEFF B6AVH7AN1;0;0;0;0;0;0;0
CHAMBRE FROIDE;B95IMAN9;Piano de cuisson 90cm anthracite SMEG B95IMAN9;0;0;0;0;0;0;0
CHAMBRE FROIDE;BBB8000QB;Four compact noir encastrable AEG BBB8000QB;0;0;0;0;0;0;0
CHAMBRE FROIDE;BBH6PZOO;Aspirateur balai sans fil BOSCH BBH6PZOO;0;0;0;0;0;0;0
CHAMBRE FROIDE;BBHL22141;Aspirateur balai BOSCH BBHL22141;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC01BLMEU;Machine à café avec broyeur Noir mat SMEG BCC01BLMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC01RDMEU;Machine à café avec broyeur rouge mat SMEG BCC01RDMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC01TPMEU;Machine à café avec broyeur taupe mat SMEG BCC01TPMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC01WHMEU;Machine à café avec broyeur blanc mat SMEG BCC01WHMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC02FBMEU;Machine à café broyeur noir SMEG BCC02FBMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC02RDMEU;Machine à café avec Broyeur Rouge mat SMEG BCC02RDMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC02TPMEU;Machine à café avec broyeur  Taupe mat SMEG BCC02TPMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCC02WHMEU;Machine à café Expresso Blanc SMEG BCC02WHMEU;0;0;0;0;0;0;0
CHAMBRE FROIDE;BCSA285K3SFN;Réfrigérateur combiné intégrable blanc BEKO BCSA285K3SFN;0;0;0;0;0;0;0
CHAMBRE FROIDE;BDFS26120XQ;Lave-vaisselle inox 11 couverts BEKO BDFS26120XQ;0;0;0;0;0;0;0
CHAMBRE FROIDE;BEE641222M;Four AEG BEE641222M;0;0;0;0;0;0;0
CHAMBRE FROIDE;BEHPH120-121;Climatiseur fixe mono-split BEKO BEHPH120-121;0;0;0;0;0;0;0
CHAMBRE FROIDE;BEHPH180-181;Climatiseur fixe mono-split BEKO BEHPH180-181;0;0;0;0;0;0;0
CHAMBRE FROIDE;BEHPH240-241;Climatiseur fixe mono-split connecté BEKO BEHPH240-241;0;0;0;0;0;0;0
CHAMBRE FROIDE;BF425LMB0;Micro-ondes intégrable noir SIEMENS BF425LMB0;0;0;0;0;0;0;0
CHAMBRE FROIDE;BF555LMW0;Micro-ondes encastrable SIEMENS BF555LMW0;0;0;0;0;0;0;0
CHAMBRE FROIDE;BF834LGB1;Micro-ondes encastrable SIEMENS  BF834LGB1;0;0;0;0;0;0;0
CHAMBRE FROIDE;BFB9000QM;Four encastrable AEG BFB9000QM;0;0;0;0;0;0;0
